iter,tokens,train_loss,val_loss
0,0,4.335938653945923,4.342850513458252
250,64000,3.2125607085227967,3.225224642753601
500,128000,2.895205569267273,2.91031090259552
750,192000,2.717290108203888,2.713369359970093
1000,256000,2.646397359371185,2.664497637748718
1250,320000,2.604048397541046,2.6148948740959166
1500,384000,2.55336856842041,2.5728610873222353
1750,448000,2.5479836535453795,2.556062364578247
2000,512000,2.5420743227005005,2.529381036758423
2250,576000,2.5175044631958006,2.523647861480713
2500,640000,2.475894112586975,2.499565558433533
2750,704000,2.4566250014305115,2.49957129240036
3000,768000,2.4375222063064577,2.485491135120392
3250,832000,2.4333274149894715,2.4686364269256593
3500,896000,2.423448295593262,2.4463003206253053
3750,960000,2.4243880891799927,2.44794248342514
4000,1024000,2.3994750428199767,2.427977225780487
4250,1088000,2.390868718624115,2.4251088976860045
4500,1152000,2.3960360884666443,2.4063197207450866
4750,1216000,2.372545454502106,2.4057811307907104
5000,1280000,2.3767418313026427,2.4000198316574095
