iter,tokens,train_loss,val_loss
0,0,4.175155849456787,4.177733898162842
250,64000,3.1533302736282347,3.1666690802574156
500,128000,2.9096700525283814,2.9276710677146913
750,192000,2.7384182596206665,2.739088442325592
1000,256000,2.6406642460823058,2.660024209022522
1250,320000,2.568612575531006,2.5900923824310302
1500,384000,2.5194901919364927,2.5310601687431333
1750,448000,2.497858073711395,2.5035847353935243
2000,512000,2.485320656299591,2.476438980102539
2250,576000,2.4612536907196043,2.4707569003105165
2500,640000,2.4292420172691345,2.457231431007385
2750,704000,2.4100894355773925,2.448328855037689
3000,768000,2.389868290424347,2.432915780544281
3250,832000,2.385545537471771,2.4255136108398436
3500,896000,2.374291501045227,2.399124491214752
3750,960000,2.3776992630958556,2.3960563111305238
4000,1024000,2.358302819728851,2.3811575841903685
4250,1088000,2.355111861228943,2.3781336164474487
4500,1152000,2.3495807075500488,2.3647899866104125
4750,1216000,2.32603178024292,2.352603223323822
5000,1280000,2.324061443805695,2.3519315695762635
