iter,tokens,train_loss,val_loss
0,0,4.248528456687927,4.245667767524719
250,64000,2.9677340006828308,2.975291140079498
500,128000,2.7713349533081053,2.7856540656089783
750,192000,2.6621857476234436,2.6689159083366394
1000,256000,2.6052064180374144,2.6328794598579406
1250,320000,2.5731203150749207,2.600852885246277
1500,384000,2.541376016139984,2.5695903372764586
1750,448000,2.548549370765686,2.5645853447914124
2000,512000,2.549230992794037,2.5548578238487245
2250,576000,2.5426173973083497,2.55984322309494
2500,640000,2.50947297334671,2.5484249496459963
2750,704000,2.507165424823761,2.5552570962905885
3000,768000,2.4948230004310608,2.5483332514762878
3250,832000,2.497988932132721,2.5450007271766664
3500,896000,2.4946738648414613,2.530212903022766
3750,960000,2.5017046093940736,2.5383572816848754
4000,1024000,2.4928772258758545,2.527579209804535
4250,1088000,2.4916334438323973,2.52885941028595
4500,1152000,2.4978288316726687,2.515638964176178
4750,1216000,2.482251887321472,2.516039834022522
5000,1280000,2.4844910097122193,2.5184658551216126
