iter,tokens,train_loss,val_loss
0,0,4.248909258842469,4.248050518035889
250,64000,3.1904925322532653,3.190838258266449
500,128000,3.0898175740242007,3.0914865589141844
750,192000,3.0252820014953614,3.006910712718964
1000,256000,2.9796609020233156,2.977312831878662
1250,320000,2.943592209815979,2.9512768673896788
1500,384000,2.921901435852051,2.9158573532104493
1750,448000,2.8962540817260742,2.9010741925239563
2000,512000,2.8974947834014895,2.8830632972717285
2250,576000,2.8804373145103455,2.8847566485404967
2500,640000,2.8464768648147585,2.869724893569946
2750,704000,2.8330248260498045,2.867154772281647
3000,768000,2.827690417766571,2.8588498306274412
3250,832000,2.8275265765190123,2.8520115423202514
3500,896000,2.8213462018966675,2.835830659866333
3750,960000,2.8200115275382998,2.8351700735092162
4000,1024000,2.8103903794288634,2.824831314086914
4250,1088000,2.803945553302765,2.821275084018707
4500,1152000,2.7991377830505373,2.8043171906471254
4750,1216000,2.78592734336853,2.8001191234588623
5000,1280000,2.7837788558006284,2.801500070095062
