iter,tokens,train_loss,val_loss
0,0,4.2467434072494505,4.243082790374756
250,64000,2.923365020751953,2.9345232105255126
500,128000,2.6389548850059508,2.660590257644653
750,192000,2.5159737610816957,2.5233006286621094
1000,256000,2.4502689337730406,2.4760382270812986
1250,320000,2.400237493515015,2.4264336824417114
1500,384000,2.3563542342185975,2.378537218570709
1750,448000,2.3525800704956055,2.3644446754455566
2000,512000,2.342305793762207,2.3376158022880555
2250,576000,2.3208781456947327,2.336240916252136
2500,640000,2.2834965229034423,2.326682457923889
2750,704000,2.2674096775054933,2.317049310207367
3000,768000,2.2500246381759643,2.3069516944885256
3250,832000,2.2536986207962038,2.3019697737693785
3500,896000,2.238997086286545,2.2752162170410157
3750,960000,2.246801176071167,2.2818746638298033
4000,1024000,2.227270128726959,2.2658828783035276
4250,1088000,2.229916121959686,2.2657414865493775
4500,1152000,2.2233703756332397,2.2532984948158266
4750,1216000,2.208614242076874,2.246181275844574
5000,1280000,2.205606679916382,2.246022119522095
